,Bankruptcy Score_f_mean,Contrarian_f_mean,Dividend_f_mean,Earning Momentum_f_mean,Earnings Quality_f_mean,Financial Quality_f_mean,Growth_f_mean,Information Uncertainty_f_mean,Investment_f_mean,Leverage_f_mean,Liquidity_f_mean,Momentum_f_mean,Size_f_mean,Value_f_mean,V1_f_mean,sector_centralization,Return,SD,Sharpe,MinReturn,MaxReturn,UpsideFrequency,UpCapture,DownCapture,UpNumber,DownNumber,UpPercent,DownPercent,AverageDrawdown.Factor,maxDrawdown,TrackingError,PainIndex.Factor,AverageLength.Factor,AverageRecovery.Factor,CDD,VaR.Factor,CVaR.Factor,Alpha,Beta,Beta.Bull,Beta.Bear,turnover,cpi_beta,cpi_beta.bull,cpi_beta.bear,realrate_beta,realrate_beta.bull,realrate_beta.bear
Bankruptcy Score_f_mean,1.0,0.35034543803088686,0.7310540629030757,-0.3836917710307821,-0.8299205091908614,-0.9076262046831652,-0.7548522064777616,0.1363931540695902,-0.6040195757555981,0.8800114673474048,-0.1298688101103157,-0.24743031179937786,-0.26346500013671986,-0.049146428206410936,0.287695030447845,-0.7330276222408277,-0.049051312208752605,0.08600294417743694,-0.06652621679477949,0.23630742849516456,0.3182435899285939,0.24945280337342074,-0.05821977838798513,-0.06891427428942343,-0.020453182630793872,-0.3564619276978936,-0.24898730017259102,0.12205660901496837,0.2468437328848926,0.16926267290043767,0.2607244041551523,0.14355484473131055,0.27483212368051074,0.24746760363909878,0.30480208505534856,-0.004951900672433288,0.05690936150515243,0.0022969326331530033,-0.019279799332079076,0.08922960656166898,0.012401946410906656,0.1587874436481039,0.3513395327276054,0.06446063073356936,0.44233994035624147,0.6389574442350998,0.5243425337166175,0.4509899406607857
Contrarian_f_mean,0.35034543803088686,1.0,0.7181102880631783,-0.7130672888208345,-0.5031338765865249,-0.23672543676153252,-0.6591815588678469,0.06268257198875371,-0.3162186821045655,0.22557650885551572,-0.19537615678396486,-0.9758223849211666,-0.059076282068440025,0.37310640136610757,0.39759703094562254,-0.4691928700984668,-0.06515976400263795,0.11254339499124638,-0.08574404667792987,0.293606845865296,0.306254469586539,0.0792217533209428,-0.00526147060327072,0.019324789167288615,-0.16573636544558265,-0.2735640584810709,-0.03792334536398458,0.09224891812455524,0.2343089115482666,-0.0045683595712104706,0.14791841409745857,-0.057872432881018496,0.1417966465460261,0.013878006848384578,0.392161943782087,-0.04025487226366999,0.13090851245575877,-0.10412582526007486,0.08653722378415639,0.33701831317960895,0.002124674141727735,-0.11002703189566251,0.3292309427077888,0.07291703423630788,0.25159187365225494,0.28851124500304365,0.40190792940917713,0.3082826180019446
Dividend_f_mean,0.7310540629030757,0.7181102880631783,1.0,-0.6961415298854984,-0.7322133528645509,-0.6495592422791095,-0.8745492593375844,0.1366437080285882,-0.6109314845583568,0.6302609218424432,-0.3121489907898525,-0.61884502085574,-0.05362290496277195,0.19321302295144677,0.174146041859004,-0.6045735933881845,-0.023772151128095872,0.023956979010339784,0.012006069467659388,0.4499950916486544,0.3664623249437915,0.2818015271116959,-0.12282901615491786,-0.1714017210701391,-0.09643559400981408,-0.4765319742995801,-0.2331223801462785,0.29997170542736984,0.2299505408454291,0.10214195244218674,0.14527520812625846,0.05042491054489297,0.24497079338063804,0.1851804917698361,0.3840537133223564,0.09063581398455961,0.21221412906745435,0.03127046092383491,-0.04678112889606129,0.27243328102756753,-0.041164398998574464,-0.13501442402447075,0.39409493423782427,0.07580660315578179,0.5019588514719082,0.583545763040737,0.45357987322386,0.41148368569098226
Earning Momentum_f_mean,-0.3836917710307821,-0.7130672888208345,-0.6961415298854984,1.0,0.5433119443763087,0.27729867115021933,0.6030586730852806,-0.2603584651827448,0.3095901544437597,-0.2660260397878187,-0.03664008735798517,0.7030617796238311,0.10475050965653805,-0.371133805950109,-0.1900888811075951,0.3907907881291339,-0.15394287888892344,-0.32083800402201007,0.1358244046224794,-0.1994341258510594,-0.5370093365418632,-0.08265925793811363,-0.24030781605267257,-0.11685007136631907,0.2565776521830368,0.36967088934568637,-0.10518254918653262,-0.035932537483028486,-0.35351449425716713,-0.2500768771261259,-0.3358128916955092,-0.05051482054909625,-0.23438869896038142,-0.09261021886552802,-0.4665239688760758,0.1840114287935183,-0.009284753236524789,0.07667420414049077,-0.2895416742903549,-0.5550633655437202,-0.21685121142326216,0.20941242283319547,-0.517898900379872,0.24723402340410605,-0.5469621945849633,-0.4865169902095704,-0.580303313866274,-0.5349086788884169
Earnings Quality_f_mean,-0.8299205091908614,-0.5031338765865249,-0.7322133528645509,0.5433119443763087,1.0,0.5864919259178522,0.8123888068334588,-0.28975566845948836,0.637026459055738,-0.5337198695607595,0.0478381472222186,0.386110394223158,0.28564908189543803,-0.19409258696563433,-0.4162539378524881,0.6156838708713767,0.0969582757327323,-0.2660215329072802,0.24039312519262998,-0.197294143802032,-0.5238745163794915,-0.07637802868216467,-0.06144080553386774,-0.10502422894483525,0.23740371212198935,0.34190536230684243,0.13631555498173065,0.021394962408462295,-0.3596869760778764,-0.31079897395073874,-0.4024769181817994,-0.297726568473854,-0.36160235105070104,-0.2913249217726138,-0.4407994745961817,0.15901382658918906,0.024842903583064336,0.1705239224212129,-0.16996171699548185,-0.356640116088317,-0.11922997815213608,-0.2694201692419025,-0.5045238933353133,0.04304281128022285,-0.6018804112781972,-0.8104087897843266,-0.6544528615747264,-0.6264932780786077
Financial Quality_f_mean,-0.9076262046831652,-0.23672543676153252,-0.6495592422791095,0.27729867115021933,0.5864919259178522,1.0,0.6675224658867916,-0.047066965264036344,0.44163234545580793,-0.9950443472606276,0.10904829186684759,0.15554379901821702,0.2745499805655381,0.2376689158513557,-0.12977026547179196,0.666817690913857,-0.10355505610010796,0.00611722320522036,-0.087858695139867,-0.23841499371524807,-0.19323430977581948,-0.31626913475314483,0.04004372855509348,0.15908579380700288,-0.1082760716408188,0.3167915292132955,0.19201731234867492,-0.18181181981445824,-0.11324185425593604,-0.06467911873939762,-0.13387208057783023,0.02142561887971975,-0.10908845626964939,-0.09616254086584367,-0.14514364850351252,-0.08832307842439294,-0.11021513053707983,-0.15841445519515296,0.0850089721700773,-0.0020217945887032363,0.04416979102314785,0.015696314572764526,-0.2133048522959757,-0.10372489665150175,-0.35596212066087535,-0.41787744091021184,-0.3407822459481958,-0.287012774801256
Growth_f_mean,-0.7548522064777616,-0.6591815588678469,-0.8745492593375844,0.6030586730852806,0.8123888068334588,0.6675224658867916,1.0,-0.16186110619408864,0.5537903506604364,-0.6431097257302165,0.26338895540470103,0.5141870958190651,0.1271706611776447,-0.010870987068244648,-0.21068207745564532,0.6242440205947003,-0.013818722096107091,-0.012144066962817819,-0.052939147987199925,-0.46327390364029236,-0.35593624532884244,-0.16116399535370032,0.10833806192770956,0.18221882729758695,0.13448464781874866,0.35242070903911876,0.21280561247007915,-0.2123325800041949,-0.10579776129555367,-0.050822218078567766,-0.15641702205362823,-0.015324559129132189,-0.12327066816099713,-0.06210817885216973,-0.2296372450268566,-0.12963473251453528,-0.26068793773253174,-0.07908769243635766,0.06951725513066581,-0.2592501463534388,0.12435336398342028,-0.07014183603865033,-0.3318919844758587,-0.1644542349078144,-0.5068204741418442,-0.6143732537543365,-0.4859598042048393,-0.4093662815066144
Information Uncertainty_f_mean,0.1363931540695902,0.06268257198875371,0.1366437080285882,-0.2603584651827448,-0.28975566845948836,-0.047066965264036344,-0.16186110619408864,1.0,-0.027919841884384317,0.03927279240554284,0.4334385177402041,-0.09647030712535655,-0.08562198345385821,0.14746486883858198,0.20211378384001633,0.017484171241325407,-0.11855778196060204,0.5648119133722317,-0.5487875876021456,-0.369137097803112,0.5521554697563723,-0.19025394623273792,0.36212158215167367,0.49220610157687966,-0.40531103420552345,-0.15199527501321136,0.07742340651064153,-0.33082859207704524,0.4491650739377585,0.6257119546075054,0.48424209957489417,0.5379156605343585,0.4279308773603982,0.4041054799929172,0.35998983154935504,-0.5314430765878545,-0.4725790184477645,-0.49627014744277176,0.5730575316980407,0.5906877150535911,0.6134187880334223,0.10324513744972895,0.617097808936599,-0.240163470379605,0.4972382868374242,0.5148744566254587,0.5221163946120878,0.6329089627777077
Investment_f_mean,-0.6040195757555981,-0.3162186821045655,-0.6109314845583568,0.3095901544437597,0.637026459055738,0.44163234545580793,0.5537903506604364,-0.027919841884384317,1.0,-0.3888116561630039,0.3703898524434318,0.19846371797907728,0.13748061990924038,-0.17721718459084218,-0.14693251560900897,0.6424397408693906,0.3696897074281146,0.06264866502928375,0.12153506029396188,-0.3545117084032509,-0.16027782055628698,-0.1444873155778438,0.329086645649212,0.12521098629333371,0.10022417531660535,0.29546620716434313,0.3577327592830194,-0.1938272816630669,-0.19709668997247215,-0.12419571442231632,-0.07078255758023264,-0.22999661493001325,-0.31883231280439345,-0.3135739524988814,-0.3308728559353961,-0.08235544710066572,-0.15289986319237367,0.1728671029044707,0.13374155809962718,-0.07665808022708781,0.07178577424410945,-0.20399591913618217,-0.3420248143655509,-0.19779553959998308,-0.3977283594691489,-0.6045779564804975,-0.3070186337428223,-0.28937736328248764
Leverage_f_mean,0.8800114673474048,0.22557650885551572,0.6302609218424432,-0.2660260397878187,-0.5337198695607595,-0.9950443472606276,-0.6431097257302165,0.03927279240554284,-0.3888116561630039,1.0,-0.08648880861545344,-0.15318872818226642,-0.2690818475729256,-0.25559196057419875,0.11536050018980956,-0.6385851910833374,0.12391884958591262,-0.0026698598394519837,0.09378720439162638,0.22064247545385313,0.18195553067175693,0.3128551856030192,-0.02246140078838668,-0.15282026812559232,0.11810632955038132,-0.3022957333886073,-0.17218661952086323,0.17407470588694646,0.1067591396315923,0.06329847938748968,0.1291910579980197,-0.0335083345723832,0.09425001374396691,0.08218200610240227,0.13234192337223483,0.08230814533561749,0.10141583169812197,0.16789764354522935,-0.07777024091866247,-0.002953111302527648,-0.03824614691671571,-0.0496193618666523,0.19622785871989387,0.08975703030761871,0.33978558232610234,0.3773668146386525,0.3135567775214801,0.2709998423523217
