,Contrarian,Earning Momentum,Earnings Quality,Financial Quality,Growth,Information Certainty,Information Uncertainty,Investment,Large Cap,Leverage,Market Interest,Momentum,Short Duration,Stagnation,Value,Return,SD,Sharpe,MinReturn,MaxReturn,UpsideFrequency,UpCapture,DownCapture,UpNumber,DownNumber,UpPercent,DownPercent,AverageDrawdown.Factor,maxDrawdown,TrackingError,PainIndex.Factor,AverageLength.Factor,AverageRecovery.Factor,CDD,VaR.Factor,CVaR.Factor,Alpha,Beta,Beta.Bull,Beta.Bear,Value,Dividend,Momentum,Liquidity,Leverage,Size,Investment,Information.Uncertainty,Growth,Financial.Quality,Earnings.Quality,Earning.Momentum,Contrarian,Bankruptcy.Score,Cyclical.Consumer.Goods...Services,Financials,Utilities,Consumer.Non.Cyclicals,Technology,Healthcare,Industrials,Energy,Basic.Materials,Real.Estate,Academic...Educational.Services
1671,0,0,0.25,0.25,0,0,0,0,0,0.25,0.25,0,0,0,0,0.111171778,0.106392199,1.044924145,-0.1816,0.1342,0.736842105,0.989889488,0.637279475,0.962962963,0.818181818,0.5,0.818181818,0.051826129,0.261493575,0.045882201,0.022737578,3.307692308,1.846153846,0.072574567,-0.068583746,-0.116308458,0.009176814,0.822452045,0.887134718,0.769409017,-0.085655827,0.181084847,0.111852685,-0.385181513,0.160637406,0.565273788,0.099241644,-0.013527927,0.049566358,-0.055947859,0.254554959,0.178445433,-0.055497058,-0.267121437,0.124358974,0.073076923,0.018461538,0.245897436,0.135641026,0.162564103,0.131025641,0.051025641,0.028974359,0.014358974,0
1105,0,0,0,0.25,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0.109255934,0.102192823,1.069115532,-0.1645,0.1356,0.763157895,0.96961214,0.622683089,1,0.818181818,0.481481481,0.727272727,0.055557498,0.269322566,0.049597674,0.024262972,3.166666667,1.666666667,0.077341453,-0.065669903,-0.10760844,0.009623531,0.779537491,0.752042358,0.732013055,-0.065717105,0.393482683,0.058465511,-0.37826004,0.194997647,0.529605054,0.168449075,-0.011230341,-0.012844642,-0.076185972,0.111002591,0.107962804,-0.009932918,-0.120591441,0.095128205,0.017948718,0.099230769,0.18025641,0.136153846,0.186410256,0.124102564,0.054615385,0.04025641,0.03974359,0
2829,0.25,0,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0.105058779,0.115102436,0.912741575,-0.1944,0.128,0.710526316,1.033839834,0.828874382,0.944444444,0.863636364,0.481481481,0.590909091,0.053521288,0.281193473,0.044910026,0.026670745,3,1.5625,0.095366228,-0.082053575,-0.125092935,0.006349701,0.893245036,0.800869304,0.842593096,-0.018748575,0.156517079,-0.129074519,-0.290810592,-0.091619676,0.935764871,0.205771104,-0.013683812,0.105561618,0.046573272,0.357472491,0.091735314,0.073987478,-0.402781039,0.11,0.047692308,0.004102564,0.193846154,0.225897436,0.194102564,0.105128205,0.070769231,0.020512821,0.009230769,0
3022,0.5,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0.092468935,0.12346866,0.748926367,-0.1905,0.1573,0.684210526,0.9994244,0.924362061,0.925925926,0.909090909,0.518518519,0.409090909,0.065329101,0.289278671,0.050586188,0.034116275,3.466666667,1.866666667,0.117747763,-0.08719517,-0.125801749,0.002401016,0.944713137,1.040003429,0.774432689,-0.009535634,0.226231005,-0.321547954,-0.145404973,-0.01497231,0.109931265,0.123478139,-0.006850986,-0.002760481,0.011344855,0.242179165,-0.016827061,0.249729227,-0.290680018,0.134102564,0.080769231,0.014615385,0.191025641,0.181538462,0.157692308,0.148461538,0.031025641,0.036923077,0.015128205,0.000512821
648,0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0,0,0,0,0.110606879,0.101166425,1.093316079,-0.1685,0.1269,0.763157895,0.976031353,0.61898666,0.962962963,0.727272727,0.481481481,0.772727273,0.049579246,0.291379173,0.049481638,0.027004836,3.153846154,1.769230769,0.078456579,-0.067461898,-0.108695503,0.010087797,0.772588409,0.676924613,0.767569127,-0.030299047,0.379314695,0.068020052,-0.36398535,0.039542884,0.440044602,0.164003445,-0.007437549,-0.001054872,-0.018039437,0.067619706,0.117344227,-0.014003167,-0.08400565,0.079230769,0.008205128,0.127435897,0.125641026,0.146410256,0.181025641,0.124615385,0.077435897,0.035641026,0.061538462,0
1469,0,0,0.25,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0.11578392,0.111045703,1.042669075,-0.2105,0.145,0.789473684,1.011280073,0.609499611,0.981481481,0.681818182,0.481481481,0.636363636,0.075607574,0.291583533,0.057607511,0.02630408,4,2.222222222,0.127935815,-0.075734678,-0.142308492,0.010566307,0.815814779,0.755956816,0.882596633,-0.104140288,0.427870683,0.071751948,-0.3250707,0.440975002,0.266970414,0.117920568,-0.016976506,-0.032662642,-0.188493878,0.146579645,0.132646649,-0.020093412,0.032696205,0.095897436,0.016666667,0.127435897,0.229230769,0.120512821,0.127179487,0.12974359,0.037435897,0.042051282,0.05974359,0
1397,0,0,0.25,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0.11404123,0.103674195,1.099996292,-0.1535,0.1261,0.789473684,1.003785304,0.632210856,1,0.727272727,0.518518519,0.818181818,0.062849631,0.294213106,0.045224854,0.026881587,3.454545455,2.090909091,0.113462636,-0.069235012,-0.106258717,0.010207682,0.804447416,0.771217521,0.773368676,-0.061580408,0.355389078,0.072485126,-0.392215527,0.084516406,0.433594272,0.011785675,-0.018501211,-0.053593115,-0.032260471,0.095961107,0.102650751,0.001061583,-0.076284896,0.110769231,0.10974359,0.073076923,0.18974359,0.101538462,0.122051282,0.141794872,0.046923077,0.029230769,0.049230769,0
1543,0,0,0.25,0,0,0.25,0,0,0,0,0.25,0,0.25,0,0,0.109452044,0.10771937,1.016085071,-0.1699,0.1363,0.776315789,0.990644438,0.663673202,0.981481481,0.727272727,0.481481481,0.681818182,0.067118937,0.295293856,0.045948685,0.029639715,3.9,2.4,0.120741693,-0.071381568,-0.11277918,0.008583322,0.832238343,0.85772908,0.808725301,-0.063421053,0.40304184,0.041043553,-0.396961853,0.070173687,0.418249429,0.02431108,-0.157705584,0.016506293,-0.017032549,0.166483114,0.089203088,0.00482387,-0.168187339,0.076666667,0.148461538,0.032307692,0.245897436,0.109487179,0.145641026,0.183333333,0.007179487,0.022307692,0.011538462,0
527,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0,0.25,0,0.116039391,0.104616886,1.109184141,-0.1732,0.1145,0.802631579,1.008148334,0.609909661,1,0.681818182,0.574074074,0.818181818,0.068892313,0.295658166,0.052688502,0.028178061,3.6,2.2,0.131847591,-0.070759149,-0.11452077,0.011139831,0.785998949,0.677782272,0.799722217,-0.047606255,0.412493601,0.055115879,-0.379647495,0.118181146,0.304860706,-0.009310879,-0.141457101,-0.080829552,-0.046446755,-0.00393812,0.060341877,0.013418345,0.065143457,0.098205128,0.118461538,0.124358974,0.178461538,0.084102564,0.124615385,0.142307692,0.022564103,0.031538462,0.038461538,0
3023,0.5,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0.09145447,0.118916819,0.769062532,-0.1716,0.1339,0.723684211,0.953830026,0.831324573,0.925925926,0.772727273,0.462962963,0.590909091,0.076969481,0.295725658,0.059878909,0.031894066,3.384615385,1.615384615,0.148736937,-0.086412791,-0.12756263,0.003777075,0.870567997,0.847015364,0.808878362,0.035678479,0.490294384,-0.44441041,-0.324197955,0.041421479,0.289226457,0.033942409,-0.000143188,-0.073332928,-0.013846738,0.100803937,-0.169435699,0.311277682,-0.10820867,0.094615385,0.131538462,0.063589744,0.188974359,0.10974359,0.130769231,0.134102564,0.056153846,0.032307692,0.032307692,0
