,0,1,2,3,4,null
0,1,1,1,1,1,0
1,1,1,1,1,2,0
2,1,1,1,1,3,0
3,1,1,1,1,4,0
4,1,1,1,1,5,0
5,1,1,1,2,1,0
6,1,1,1,2,2,0
7,1,1,1,2,3,0
8,1,1,1,2,4,0
9,1,1,1,2,5,0
10,1,1,1,3,1,0
11,1,1,1,3,2,0
12,1,1,1,3,3,0
13,1,1,1,3,4,0
14,1,1,1,3,5,0
15,1,1,1,4,1,0
16,1,1,1,4,2,0
17,1,1,1,4,3,0
18,1,1,1,4,4,0
19,1,1,1,4,5,0
20,1,1,1,5,1,0
21,1,1,1,5,2,0
22,1,1,1,5,3,0
23,1,1,1,5,4,0
24,1,1,1,5,5,0
25,1,1,2,1,1,0
26,1,1,2,1,2,0
27,1,1,2,1,3,0
28,1,1,2,1,4,0
29,1,1,2,1,5,0
30,1,1,2,2,1,0
31,1,1,2,2,2,0
32,1,1,2,2,3,0
33,1,1,2,2,4,0
34,1,1,2,2,5,0
35,1,1,2,3,1,0
36,1,1,2,3,2,0
37,1,1,2,3,3,0
38,1,1,2,3,4,0
39,1,1,2,3,5,0
40,1,1,2,4,1,0
41,1,1,2,4,2,0
42,1,1,2,4,3,0
43,1,1,2,4,4,0
44,1,1,2,4,5,0
45,1,1,2,5,1,0
46,1,1,2,5,2,0
47,1,1,2,5,3,0
48,1,1,2,5,4,0
49,1,1,2,5,5,0
50,1,1,3,1,1,0
51,1,1,3,1,2,0
52,1,1,3,1,3,0
53,1,1,3,1,4,0
54,1,1,3,1,5,0
55,1,1,3,2,1,0
56,1,1,3,2,2,0
57,1,1,3,2,3,0
58,1,1,3,2,4,0
59,1,1,3,2,5,0
60,1,1,3,3,1,0
61,1,1,3,3,2,0
62,1,1,3,3,3,0
63,1,1,3,3,4,0
64,1,1,3,3,5,0
65,1,1,3,4,1,0
66,1,1,3,4,2,0
67,1,1,3,4,3,0
68,1,1,3,4,4,0
69,1,1,3,4,5,0
70,1,1,3,5,1,0
71,1,1,3,5,2,0
72,1,1,3,5,3,0
73,1,1,3,5,4,0
74,1,1,3,5,5,0
75,1,1,4,1,1,1
76,1,1,4,1,2,0
77,1,1,4,1,3,0
78,1,1,4,1,4,0
79,1,1,4,1,5,0
80,1,1,4,2,1,0
81,1,1,4,2,2,0
82,1,1,4,2,3,0
83,1,1,4,2,4,0
84,1,1,4,2,5,0
85,1,1,4,3,1,0
86,1,1,4,3,2,0
87,1,1,4,3,3,0
88,1,1,4,3,4,0
89,1,1,4,3,5,0
90,1,1,4,4,1,0
91,1,1,4,4,2,0
92,1,1,4,4,3,0
93,1,1,4,4,4,0
94,1,1,4,4,5,0
95,1,1,4,5,1,0
96,1,1,4,5,2,0
97,1,1,4,5,3,0
98,1,1,4,5,4,0
99,1,1,4,5,5,0
100,1,1,5,1,1,1
101,1,1,5,1,2,0
102,1,1,5,1,3,0
103,1,1,5,1,4,0
104,1,1,5,1,5,0
105,1,1,5,2,1,1
106,1,1,5,2,2,0
107,1,1,5,2,3,0
108,1,1,5,2,4,0
109,1,1,5,2,5,0
110,1,1,5,3,1,0
111,1,1,5,3,2,0
112,1,1,5,3,3,0
113,1,1,5,3,4,0
114,1,1,5,3,5,0
115,1,1,5,4,1,0
116,1,1,5,4,2,0
117,1,1,5,4,3,0
118,1,1,5,4,4,0
119,1,1,5,4,5,0
120,1,1,5,5,1,0
121,1,1,5,5,2,0
122,1,1,5,5,3,0
123,1,1,5,5,4,0
124,1,1,5,5,5,0
125,1,2,1,1,1,0
126,1,2,1,1,2,0
127,1,2,1,1,3,0
128,1,2,1,1,4,0
129,1,2,1,1,5,0
130,1,2,1,2,1,0
131,1,2,1,2,2,0
132,1,2,1,2,3,0
133,1,2,1,2,4,0
134,1,2,1,2,5,0
135,1,2,1,3,1,0
136,1,2,1,3,2,0
137,1,2,1,3,3,0
138,1,2,1,3,4,0
139,1,2,1,3,5,0
140,1,2,1,4,1,0
141,1,2,1,4,2,0
142,1,2,1,4,3,0
143,1,2,1,4,4,0
144,1,2,1,4,5,0
145,1,2,1,5,1,0
146,1,2,1,5,2,0
